spot_name,spot_address,elastic_tourist_spot_id
카이스트(KAIST),대전 유성구 대학로 291,
엑스포과학공원과 세계엑스포 기념품박물관,대전 유성구 대덕대로 480,
한국표준과학연구원,대전 유성구 가정로 267,
한국전자통신연구원,대전 유성구 가정로 218,
국립중앙과학관,대전 유성구 대덕대로 481,
한국한의학연구원,대전 유성구 유성대로 1672,
대전시민천문대,대전 유성구 과학로 213-48,
한국천문연구원,대전 유성구 대덕대로 776,
한국항공우주연구원,대전 유성구 과학로 169-84,
한국기계연구원,대전 유성구 가정북로 156,
지질박물관,대전 유성구 과학로 124,
화폐박물관,대전 유성구 과학로 80-67,
국가핵융합연구소(NFRI),대전 유성구 과학로 169-148,
한국화학연구원(KRICT),대전 유성구 과학로 169-148,
한국에너지기술연구원(KIER),대전 유성구 가정로 152,
한국생명공학연구원(KRIBB),대전 유성구 과학로 125,
특허청 발명교육센터(창의발명체험관),대전 유성구 과학로 82,
한국원자력연구원(KAERI),대전 유성구 대덕대로989번길 111,
영화반점(전영화),대전 대덕구 신탄진동로23번길 46,
금광식당,대전 중구 충무로 127,
연아식당,대전 중구 유천로 57-9,
별천지,대전 동구 산서로1659번길 29,
홍천식당,대전 유성구 계룡로74번길 8,
영동식당,대전 중구 계룡로874번길 27-9,
광천식당,대전 중구 대종로505번길 29,
사리원면옥,대전 중구 중교로 62,
중국성,대전 동구 대전로815번길 66,
평양숨두부,대전 동구 대전로 381,
태화장,대전 동구 중앙로203번길 78,
백천집식당,대전 동구 대전로791번길 48,
대성관,대전 중구 계백로1584번길 114,
정식당,대전 중구 중앙로130번길 37-13,
왕관식당,대전 동구 선화로196번길 6,
진로집,대전 중구 중교로 45-5,
소나무집,대전 중구 대전천서로 427-3,
만수불고기,대전 유성구 장대로 38,
경동오징어국수,대전 동구 계족로 369,
광천식당,대전 서구 계룡로 670-16,
사리원면옥,대전 서구 둔산로31번길 77,
신도칼국수,대전 동구 대전로825번길 11,
적덕식당,대전 동구 우암로 220-3,
전통칼국수,대전 동구 대전로825번길 13,
대들보 함흥면옥,대전 중구 계백로1583번길 39,
대전갈비집,대전 중구 대흥로175번길 28,
학선식당,대전 중구 보문로337번길 26,
한영식당,대전 중구 계룡로874번길 6,
성심당,대전 중구 대종로480번길 15,
이응노 미술관,대전 서구 둔산대로 157,
대전시립미술관,대전 서구 둔산대로 155,
여진불교미술관,대전 유성구 엑스포로 624,
한남대 박물관,대전 대덕구 한남로 70,
대전선사박물관,대전 유성구 노은동로 126,
충남대 박물관,대전 유성구 대학로 99,
한밭교육박물관,대전 동구 우암로 96,
대전시립박물관,대전 유성구 도안대로 398,
대전역과 추억의 가락국수,대전 동구 중앙로 지하 218,
국립대전현충원,대전 유성구 현충원로 251,
카리용,대전 서구 혜천로 100,
대전예술의전당,대전 서구 둔산대로 135,
천연기념물센터,대전 서구 유등로 927,
특허청 발명인의 전당,대전 서구 청사로 189,
대전 문학관,대전 동구 송촌남로11번길 116,
"골프테마파크, 조이마루",대전 유성구 엑스포로97번길 40,
대전 아쿠아리움,대전 중구 보문산공원로 469,
대전 시청자미디어센터,대전 유성구 대덕대로512번길 20,
대전 테미예술창작센터,대전 중구 보문로199번길 37-1,
대전 창작센터,대전 중구 대종로 470,
대전 전통나래관,대전 동구 철갑2길 2,
무형문화재전수회관,대전 대덕구 동춘당로94번길 50,
대전 평생학습관,대전 중구 중교로 56,
대전 시립연정국악원,대전 서구 둔산대로 181,
대전 컨벤션센터,대전 유성구 엑스포로 107,
우송예술회관,대전 동구 동대전로 171,
동구청소년자연수련관,대전 동구 산내로474번길 123,
SPACE SSEE,대전 중구 중앙로130번길 37-6,
이공갤러리,대전 중구 대흥로139번길 36,
쌍리갤러리,대전 중구 중앙로130번길 46,
현대갤러리,대전 중구 중교로 33,
우연갤러리,대전 중구 대종로 467,
대전중구문화원,대전 중구 대흥로 109,
한밭종합운동장,대전 중구 대종로 373,
충남대학교 정심화국제문화회관,대전 유성구 대학로 99,
유성궁도장,대전 유성구 덕명로56번길 89,
복용승마장,대전 유성구 덕명로56번길 199,
대전월드컵경기장,대전 유성구 월드컵대로 32,
오원화랑,대전 서구 둔산중로78번길 36,
정부대전청사,대전 서구 청사로 189,
대전 시청 전시실,대전 서구 둔산로 100,
대전 평생교육문화센터,대전 서구 배재로 181,
평송청소년문화센터,대전 서구 둔산대로 201,
대덕 문화원,대전 대덕구 대전로 1348,
대전어린이회관,대전 유성구 월드컵대로 32,
대전교통문화연수원,대전 유성구 대덕대로 480,
솔로몬로파크,대전 유성구 엑스포로 219-39,
엑스포다리(야경),대전 유성구 엑스포로 85,
한밭도서관,대전 중구 서문로 10,
현대프리미엄아울렛 대전,대전 유성구 테크노중앙로 123,
성심당 본점,대전 유성구 대학로 291,
성심당 DCC점,대전 유성구 엑스포로 107,
성심당 롯데백화점대전점,대전 서구 계룡로 598 1층,
성심당 케익부띠끄 본점,대전 중구 대종로 480,
성심당 대전역점,대전 동구 중앙로 215 대전역사 2F,
성심당 옛맛솜씨,대전 중구 은행동 대종로480번길 16,
하레하레 둔산점,"대전 서구 둔산로 155 크로바아파트 상가동 1,2층",
하레하레베이커리카페2호점,대전 서구 탄방동 587번지 1층,
하레하레과자 도안점,대전 서구 원도안로 26번길 13,
하레하레 갤러리아 타임월드점,대전 서구 둔산동 1036,
하레하레 유성점,대전 유성구 봉명동 1017-7,
하루팡,대전 유성구 봉명동 611-1 호 그랑펠리체,
르뺑99-1,대전 유성구 봉명동 650,
몽심도안점,대전 서구 도안동 998,
꾸드뱅,대전 유성구 지족동 575-5,
몽심 한남대점,대전 대덕구 오정동 175-45 1층,
몽심 대흥점,대전 중구 중교로 32 1 층,
비머스트 봉명점,대전 유성구 봉명서로 21-3 비머스트 1층,
비머스트 도안점,대전 서구 용소로46번길 34,
빵 한모금,대전 동구 자양동 197-8,
연선흠과자점,"대전 유성구 지족로148번길 39-23 1,2층",
싶빵공장 둔산월평직영점,대전 서구 청사로 130 105호,
소신 대전,대전 유성구 농대로15번길 7,
에이트 대전,대전 유성구 한밭대로 458,
극독제과 대전중구점,대전 중구 대사동 99-1,
이봉구케잌과자점,대전 중구 계백로 1615번길 37,
글로리아제과점,대전 유성구 봉명동 561-10번지 1층,
이너프케이크,대전 서구 갈마동 306-18,
샤를몽탁,대전 동구 대청동 회남로 172,
소올투베이커리,대전 서구 둔지로 32,
인셉트,대전 서구 갈마역로25번길 67 102호,
작은숩,대전 동구 성동로 17,
윈도우로맨스,대전 중구 과례로 84-2 1층,
이케엔솜,대전 서구 용소로 51,
베이크샵 수하,대전 유성구 지족북로 78,
마마 러프 파이,대전 서구 둔산동 1129,
콜드버터 베이크샵,대전 중구 대흥동 중앙로112번길 37,
이이디 에스프레소 바,대전 중구 중앙로129번길 30 2층,
달케 디저트,대전 서구 괴정동 7-17,
SSAW,대전 서구 둔산동 1435,
계족산성,대전 대덕구 산디로 79-70,
회덕향교대성전,대전 대덕구 대전로1397번안길 126,
대전 소대헌ㆍ호연재 고택,대전 대덕구 동춘당로 70,
둔산선사유적공원,대전 서구 대덕대로317번길 9,
도산서원,대전 서구 남선로 8,
봉소루,대전 중구 봉소루로 29,
단재신채호선생생가지,대전 중구 단재로229번길 47,
창계숭절사,대전 중구 대둔산로137번길 67,
유회당,대전 중구 운남로85번길 32-20,
고산사 대웅전,대전 동구 대전로316번길 205,
우암사적공원,대전 동구 충정로 53,
문충사,대전 동구 동부로73번길 44,
송애당,대전 대덕구 계족산로17번길 60,
쌍청당,대전 대덕구 쌍청당로 17,
진잠향교대성전,대전 유성구 교촌로 67,
숭현서원,대전 유성구 엑스포로251번길 36,
수운교천단,대전 유성구 자운로245번길 80,
미륵원,대전 동구 마산동 135-2,
남간정사,대전 동구 충정로 53,
옛 대전형무소,대전 중구 중촌동 16-11,
유성온천,대전 유성구 봉명동 574,
으능정이문화의거리,대전 중구 은행동 45-10,
대전문화예술단지,대전 서구 둔산대로 135,
동춘당,대전 대덕구 동춘당로 80,
대전둘레산길,대전 중구 문화동 산 18-1,
효문화마을,대전 중구 뿌리공원로 47,
대청호반,대전 동구 추동 333,
엑스포과학공원,대전 유성구 엑스포로 85,
뿌리공원,대전 중구 뿌리공원로 79,
오-월드,대전 중구 사정공원로 70,
계족산 황톳길,대전 대덕구 장동 453-1,
장태산자연휴양림,대전 서구 장안로 461,
한밭수목원,대전 서구 둔산대로 169,
이사동 민속마을,대전 동구 이사로 102-21,
옛 충남도청과 근현대사전시관,대전 중구 중앙로 101,
유성온천 족욕체험장,대전 유성구 봉명동 574,
대청호 오백리길,대전 대덕구 대청로 618-136,
금강로하스 에코파크,대전 대덕구 대청로 167,
산디마을 생태공원 캠핑장,대전 대덕구 산디로 190,
로하스 가족공원 캠핑장,대전 대덕구 대청로424번길 200,
상소오토캠핑장,대전 동구 산내로 748,
뿌리공원 캠핑장,대전 중구 뿌리공원로 79,
장태산자연휴양림캠핑장,대전 서구 장안로 461,
대청댐 물 문화관,대전 대덕구 대청로 618-136,
대동하늘공원,대전 동구 동대전로110번길 182,
주주 글램핑장,대전 유성구 성북로 66-19,
보문산 숲 치유센터,대전 중구 보문산공원로 440,
로하스 대청水포츠,대전 대덕구 대청로 167,
성북동산림욕장,대전 유성구 성북로 463,
밀쌈마을,대전 유성구 세동로 44-14,
갑천 수상스포츠,대전 서구 만년동 397,
목척교,대전 중구 은행동 55-8,
무수천하마을,대전 중구 무수동 247-1,
보문산,대전 중구 문화동 산 18-1,
선창마을,대전 유성구 계백로93번길 111,
구봉산,대전 서구 괴곡동 산 55,
만인산 자연휴양림,대전 동구 산내로 106,
찬샘마을,대전 동구 냉천로 703,
식장산,대전 동구 세천동 358,
장동산림욕장,대전 대덕구 산디로 79-70,
계족산,대전 대덕구 산디로 79-70,
대청호 두메마을,대전 대덕구 대청호수로1326번길 97,
수통골 유원지,대전 유성구 계산동 667-1,
만인산,동구 하소동,
테미공원,대전 중구 보문로199번길 37-36,
대전보훈공원,대전 중구 보훈로 46,
유림공원,대전 유성구 어은로 27,
대덕사이언스길,대전 유성구 대덕대로 480,
대청호 자연생태관,대전 동구 천개동로 41,
캠프향기 캠핑장,대전 동구 산내로 710,
꿈꾸는 농부 오토캠핑장,대전 동구 산내로 716,
하기숲 캠핑장,대전 유성구 하기동 259,
대전곤충생태관,대전 서구 둔산대로 191,
